id,a1,a2
402,40080,8018
403,x403,y403
404,17569,11744
405,11077,5483
406,22915,26785
407,4680,41592
408,24976,37434
409,23297,11869
410,25650,3024
411,38881,2043
412,44999,31487
413,24902,35082
414,15194,25608
415,11179,7302
416,39498,4362
417,17095,32139
418,x418,y418
419,4212,9305
420,11915,20586
421,21102,46814
422,24565,46757
423,42867,22971
424,24638,19223
425,31402,12077
426,1751,45055
427,48279,49982
428,14356,17971
429,21453,43206
430,14922,20123
431,2476,12299
432,30772,18823
433,24174,13439
434,16523,1548
435,5305,12969
436,40310,43269
437,27360,17051
438,35281,14752
439,47953,10407
440,33227,45909
441,4121,43486
442,30356,47640
443,27245,28380
444,29328,42766
445,34140,3033
446,6294,19971
447,11753,44948
448,19827,39199
449,6703,32655
450,40505,41730
451,13714,32864
452,36222,39283
453,22964,1970
454,21631,10605
455,20355,23000
456,36425,22287
457,41253,49044
458,16833,40815
459,12143,30118
460,4593,27036
461,48550,48987
462,41922,38006
463,10134,35134
464,40322,42080
465,3202,8386
466,17727,27547
467,20723,3833
468,1558,36054
469,24038,43071
470,21761,22260
471,15753,33178
472,48761,25827
473,1607,36411
474,34024,14909
475,19689,32891
476,18976,33619
477,30749,33119
478,25676,33482
479,48716,27493
480,29974,16476
481,32227,28731
482,22624,38610
483,4258,39902
484,21350,15532
485,22271,37859
486,29505,32660
487,x487,y487
488,6732,413
489,9514,2471
490,30903,18066
491,25989,23954
492,39565,34945
493,13102,8964
494,27513,31275
495,12985,9108
496,42425,36236
497,23750,36842
498,44411,21692
499,14030,13977
500,27730,13779
501,41810,45095
502,11413,8801
503,15197,5334
504,48383,49662
505,32792,18313
506,x506,y506
507,6614,35094
508,23913,3558
509,31455,19814
510,16610,27324
511,38646,39159
512,37302,48897
513,37430,13539
514,321,11737
515,2889,36742
516,42803,1170
517,34920,1650
518,10779,35749
519,9924,2089
520,15183,4387
521,2262,22643
522,22931,1884
523,27646,35514
524,32940,47382
525,1583,26999
526,49332,46699
527,20586,20878
528,33283,17191
529,36098,1063
530,42626,35652
531,45726,41853
532,19599,19538
533,27292,3279
534,44618,20743
535,1416,5795
536,37638,44398
537,10566,14648
538,35646,7213
539,42990,26170
540,23047,19228
541,34664,26970
542,19274,15301
543,23604,5384
544,3641,347
545,41422,6625
546,33362,3195
547,23631,608
548,20472,14839
549,25195,41676
550,42910,35859
551,49234,24418
552,2604,32965
553,39079,24158
554,40019,14760
555,25332,9917
556,44972,34857
557,1789,6650
558,10163,43490
559,44526,15308
560,11808,49285
561,47328,9134
562,34065,47666
563,13038,41056
564,31549,16239
565,19151,43406
566,33797,28354
567,25702,48818
568,9412,18293
569,15139,28025
570,20931,47397
571,18052,16731
572,25698,47872
573,3325,10455
574,38455,12085
575,19645,3712
576,23230,29729
577,28205,44659
578,1887,44549
579,49253,20634
580,19538,41544
581,46470,21049
582,49340,12777
583,49425,8093
584,37933,38158
585,42633,6550
586,40869,40657
587,21253,5495
588,29085,15273
589,48690,38392
590,11570,27070
591,20722,29456
592,35670,6853
593,44359,43296
594,18950,44237
595,26965,7443
596,6408,20103
597,751,29542
598,36374,46397
599,8659,2521
600,8082,4441
601,19969,48514
602,17135,36617
603,16604,25075
604,17034,21900
605,26885,35068
606,4772,5348
607,35891,39212
608,11394,18201
609,17778,30410
610,22139,4275
611,x611,y611
612,x612,y612
613,23974,9971
614,48250,9592
615,44627,16759
616,48066,13899
617,32026,24850
618,11802,25454
619,42641,23445
620,43108,11757
621,1050,41139
622,42134,28135
623,x623,y623
624,36643,19240
625,35639,13807
626,17762,32874
627,18682,22496
628,30169,8802
629,45751,21260
630,22579,35902
631,31208,34445
632,11190,38131
633,22446,13538
634,46501,5091
635,10144,11540
636,15486,41740
637,28649,19567
638,27388,47566
639,24091,26464
640,35289,40610
641,35979,22716
642,25466,44236
643,18706,29679
644,31829,22591
645,35385,34162
646,20015,24583
647,2232,11393
648,10938,33080
649,35989,33720
650,10524,49211
651,33235,18424
652,25663,5641
653,24309,46155
654,17741,25979
655,15175,30414
656,31199,38101
657,16966,4380
658,32616,31532
659,44092,28733
660,x660,y660
661,18011,49124
662,20421,27689
663,35445,16352
664,27679,7935
665,2996,37807
666,27430,7855
667,5456,37643
668,15964,8044
669,27230,12296
670,x670,y670
671,26014,34105
672,x672,y672
673,29338,46680
674,43790,48086
675,1451,27617
676,25405,15026
677,10049,44559
678,14463,40991
679,10181,28915
680,x680,y680
681,16658,45787
682,25277,13164
683,38941,28820
684,48226,39621
685,29297,39954
686,24952,29569
687,45840,11313
688,28769,8933
689,37104,45462
690,17279,19958
691,30323,37634
692,23414,47681
693,24549,1671
694,16534,29740
695,47247,19950
696,2192,44103
697,17708,15288
698,44173,6996
699,16765,15367
700,41976,10979
701,26220,11718
702,47163,44463
703,29560,25350
704,27318,40702
705,30037,28622
706,35965,21195
707,2587,48019
708,949,13114
709,20422,15185
710,46508,24021
711,44663,5324
712,14859,49146
713,18591,8042
714,15584,34606
715,21979,27515
716,26051,31582
717,26494,38895
718,46597,17480
719,1447,17670
720,34701,6367
721,15175,7322
722,28205,10155
723,40662,1432
724,34499,10710
725,18118,33262
726,19597,48234
727,24921,37264
728,20549,13255
729,22221,35718
730,40837,15736
731,15452,34893
732,49839,34311
733,24714,40217
734,16671,49673
735,31658,3049
736,15601,31500
737,12692,26884
738,x738,y738
739,19053,7895
740,22503,29794
741,30931,4687
742,44307,14118
743,35059,10574
744,49633,4942
745,47488,31135
746,19551,22587
747,35178,30377
748,16900,48238
749,688,49076
750,38062,36238
751,24763,40530
752,26122,13502
753,49737,6926
754,13253,12290
755,25413,17890
756,18423,8449
757,18398,13832
758,38558,11283
759,36037,38192
760,6675,26804
761,45646,45205
762,19680,13173
763,45030,31757
764,16138,40643
765,29483,44796
766,12355,33390
767,49884,17494
768,19983,33477
769,2273,46405
770,23481,11007
771,32926,498
772,29919,27224
773,17065,8527
774,14983,20951
775,8256,44422
776,6174,34109
777,34348,572
778,32895,428
779,43059,45449
780,14490,15670
781,4911,13402
782,27707,3863
783,20214,43197
784,36938,26973
785,4598,27690
786,32317,35332
787,34479,951
788,23200,15552
789,14526,14868
790,204,4110
791,24463,22716
792,43109,4946
793,28357,34667
794,17176,32254
795,7071,33533
796,28690,48846
797,11454,9521
798,9068,43588
799,14786,49531
800,26144,2940
801,1245,43123
802,34293,24684
803,27589,1699
804,27841,35083
805,36599,7250
806,48473,32880
807,14299,31939
808,21702,44363
809,18456,24216
810,44842,15001
811,38232,32449
812,20009,23934
813,20775,20364
814,24725,2231
815,17918,43600
816,21006,24530
817,16011,20134
818,744,49132
819,20623,22975
820,7301,29968
821,33619,17265
822,24189,18321
823,6223,7883
824,44641,48890
825,25612,15624
826,35377,21314
827,11691,45182
828,40446,42541
829,10805,13463
830,26848,20421
831,37017,24022
832,14306,35882
833,8591,8904
834,22358,24313
835,5432,1538
836,4051,45735
837,17204,46455
838,41067,12965
839,x839,y839
840,47847,36126
841,18784,30416
842,40288,36095
843,20485,26292
844,38090,46753
845,16273,43707
846,32997,24131
847,2741,43186
848,34386,45026
849,14750,34443
850,38427,38463
851,28705,25270
852,2576,36991
853,15501,12239
854,27352,33852
855,13641,39343
856,14726,9813
857,8535,40669
858,17517,42052
859,x859,y859
860,17653,22755
861,21979,9008
862,8467,28070
863,5467,14834
864,8586,30660
865,28804,35008
866,9968,7644
867,23784,37327
868,4417,10981
869,26378,34215
870,35360,27869
871,14592,4826
872,40532,42027
873,23883,357
874,30359,33327
875,37466,16633
876,2157,21218
877,22065,20506
878,35173,11179
879,26126,45034
880,49240,6261
881,4726,19899
882,28830,22943
883,405,11411
884,10240,34584
885,24343,31120
886,12556,28531
887,4920,46180
888,6225,22909
889,48365,29816
890,37187,43787
891,13975,21560
892,3802,5434
893,8325,7213
894,8476,46790
895,34614,10307
896,39699,3938
897,23213,3096
898,48023,13011
899,16404,34971
900,14314,18287
901,3588,49068
902,28734,48658
903,36249,48467
904,27448,40712
905,13499,41338
906,45567,15005
907,867,24628
908,40098,23329
909,20366,45339
910,31967,49405
911,7383,35514
912,16779,33471
913,2721,7641
914,7221,34369
915,7495,36695
916,24928,33117
917,13387,33862
918,49482,20303
919,36512,41818
920,44639,48967
921,26534,11725
922,x922,y922
923,15893,44694
924,26341,3452
925,40709,1048
926,43238,25835
927,5509,18390
928,2232,10193
929,45657,12583
930,28290,29608
931,36692,17059
932,24548,26
933,37991,33678
934,6221,12879
935,13225,34570
936,32469,7988
937,30856,27866
938,23654,47140
939,47786,31930
940,44074,42808
941,29244,7519
942,11310,43805
943,6345,5912
944,37613,42765
945,35539,24260
946,39577,10325
947,7779,8227
948,45131,156
949,33539,16552
950,25837,30998
951,7097,12562
952,30379,24275
953,21184,36529
954,19724,19316
955,21989,368
956,43447,27281
957,31155,13883
958,11182,10893
959,28744,2231
960,447,28988
961,27953,49108
962,15769,6522
963,28110,41458
964,14003,40796
965,13746,21372
966,38782,18891
967,14202,34519
968,34908,24210
969,35946,39004
970,31564,15706
971,45226,44181
972,41146,4043
973,5468,5353
974,8559,2433
975,28694,19132
976,43235,18674
977,23786,45523
978,30767,43648
979,34921,42720
980,35331,3559
981,29608,33364
982,12397,39344
983,17130,17931
984,17030,38719
985,1786,10358
986,4414,13574
987,49609,15907
988,19391,30556
989,18735,17913
990,26307,17795
991,31966,23621
992,24504,18859
993,48648,15606
994,9450,39392
995,15415,45016
996,35082,33448
997,33587,28674
998,19100,28839
999,8325,2569
1000,46194,44221
1001,24467,48096
1002,7159,42478
1003,x1003,y1003
1004,45525,29518
1005,9019,30677
1006,5578,49636
1007,x1007,y1007
1008,2515,10107
1009,20717,45391
1010,4983,23285
1011,21510,38764
1012,x1012,y1012
1013,18201,19164
1014,5577,45582
1015,41961,29607
1016,29776,23321
1017,42732,17272
1018,25623,547
1019,40251,37105
1020,42972,47416
1021,26687,3748
1022,48006,35925
1023,23541,13125
1024,19548,33480
1025,37821,45988
1026,33171,20122
1027,33941,15627
1028,37421,46373
1029,40503,12538
1030,20670,39403
1031,25613,41420
1032,9020,34844
1033,7192,14933
1034,11305,39136
1035,45350,39820
1036,29133,25316
1037,16373,27255
1038,11278,6822
1039,34171,17047
1040,38158,14991
1041,28118,20356
1042,10554,10171
1043,28892,49615
1044,39375,47720
1045,25816,9633
1046,26934,17891
1047,43221,1687
1048,x1048,y1048
1049,8784,27428
1050,45515,48606
1051,x1051,y1051
1052,47142,26529
1053,17105,43705
1054,3655,9549
1055,39216,14509
1056,21283,12096
1057,6321,33560
1058,6611,44932
1059,40730,30171
1060,3039,36816
1061,31988,39065
1062,14399,27271
1063,11645,37139
1064,30135,43403
1065,44002,27327
1066,37095,37590
1067,20426,14246
1068,46913,29733
1069,21215,32493
1070,29222,44303
1071,977,38734
1072,41421,47750
1073,732,46145
1074,8705,1505
1075,48147,29340
1076,4684,1048
1077,311,33281
1078,47519,44502
1079,24132,17481
1080,15852,19055
1081,42528,32624
1082,28338,16095
1083,47812,37640
1084,30043,11729
1085,9814,21706
1086,28898,19363
1087,9665,44715
1088,31253,36577
1089,12021,24809
1090,26593,4920
1091,29722,43464
1092,41568,19001
1093,16531,40606
1094,35973,20024
1095,21142,21396
1096,35744,16170
1097,41182,44610
1098,35593,43242
1099,7807,43011
1100,27315,32036
1101,14935,33216
1102,9002,29564
1103,14037,21799
1104,45057,35553
1105,8995,40769
1106,33733,21938
1107,x1107,y1107
1108,40830,27286
1109,43271,45036
1110,17008,49507
1111,19967,14656
1112,33409,15999
1113,43496,26949
1114,11983,30731
1115,39345,33294
1116,11054,13091
1117,17464,42136
1118,30211,9473
1119,27319,36387
1120,12927,25654
1121,20807,42011
1122,40413,27181
1123,10132,26792
1124,11847,20716
1125,28571,31018
1126,34895,43513
1127,39056,49441
1128,47120,16314
1129,49634,40054
1130,3133,40899
1131,23836,44225
1132,29143,44231
1133,48859,49061
1134,34301,20518
1135,31411,6959
1136,40082,30392
1137,26089,9306
1138,39676,14814
1139,34692,4431
1140,13280,37557
1141,45230,33860
1142,31570,11688
1143,7582,6533
1144,44179,15602
1145,21709,21042
1146,715,26477
1147,2976,11368
1148,28067,29084
1149,34794,18811
1150,9387,5926
1151,38595,2498
1152,43566,44824
1153,24247,9225
1154,24564,25126
1155,32720,25126
1156,40853,48658
1157,7703,14855
1158,13186,39180
1159,23492,24970
1160,37217,39782
1161,20488,12343
1162,24164,38886
1163,42650,7434
1164,14077,607
1165,38774,30955
1166,8227,41327
1167,8911,11075
1168,2448,39123
1169,27491,39889
1170,4651,41281
1171,4100,46193
1172,38842,15785
1173,31862,15083
1174,48369,45348
1175,2217,41022
1176,9532,7457
1177,17169,28571
1178,46019,37748
1179,9589,31087
1180,47566,28072
1181,9693,13548
1182,27800,39410
1183,1461,49739
1184,45367,2098
1185,48670,15498
1186,9014,14444
1187,33107,41087
1188,30141,15918
1189,13989,21492
1190,21596,35118
1191,11738,45771
1192,16859,13689
1193,29280,39507
1194,17426,40566
1195,22463,29704
1196,32964,34654
1197,9442,15196
1198,14365,46369
1199,48321,9346
1200,43350,20945
1201,4204,30716
1202,43712,21557
1203,25644,23906
1204,48040,29234
1205,27499,25286
1206,9841,43731
1207,30198,31049
1208,42962,40990
1209,44188,739
1210,43231,40440
1211,7921,7677
1212,7582,44299
1213,7511,44945
1214,39582,8846
1215,32919,4609
1216,42785,25204
1217,9599,14083
1218,36686,32748
1219,43204,43706
1220,29637,15816
1221,22496,12709
1222,26859,22027
1223,32722,32254
1224,9875,7619
1225,4752,26100
1226,26499,25807
1227,23427,40353
1228,44713,12135
1229,13347,12824
1230,36233,47139
1231,15811,29600
1232,17897,17553
1233,17628,47982
1234,8505,40394
1235,35505,48808
1236,27118,35794
1237,6570,19972
1238,39132,9130
1239,6393,16461
1240,40082,4099
1241,12003,2032
1242,32545,27823
1243,6605,13538
1244,38547,48083
1245,7677,29952
1246,45538,39070
1247,25002,37386
1248,38094,13760
1249,10216,20558
1250,3162,2163
1251,33134,48655
1252,3798,41674
1253,47300,14191
1254,32970,41209
1255,1204,5220
1256,35388,28332
1257,34942,36980
1258,48532,17431
1259,41945,30231
1260,23801,34936
1261,13684,37697
1262,41119,9259
1263,23087,44968
1264,44708,40998
1265,49301,40481
1266,32438,6058
1267,44749,44354
1268,2727,43736
1269,36513,45934
1270,23338,45174
1271,44860,16095
1272,x1272,y1272
1273,49834,26782
1274,39893,3746
1275,18519,18772
1276,22356,6755
1277,37929,7852
1278,35516,9165
1279,12543,47676
1280,32180,32842
1281,19438,26144
1282,24738,40327
1283,5092,22985
1284,33921,35723
1285,48683,1279
1286,49436,22390
1287,47284,12875
1288,12476,28276
1289,25271,38793
1290,4338,28276
1291,x1291,y1291
1292,21770,7007
1293,36527,41323
1294,46934,33970
1295,30157,3649
1296,21415,49872
1297,41084,22684
1298,18301,12370
1299,35348,26712
1300,42389,22721
1301,2359,31707
1302,19825,11301
1303,39831,43245
1304,34162,33635
1305,27021,43194
1306,16740,14429
1307,11463,17510
1308,15667,9338
1309,31581,16634
1310,10338,25171
1311,2168,40580
1312,38244,11043
1313,37686,45160
1314,45308,41933
1315,21325,35073
1316,46908,34644
1317,26065,7805
1318,27159,11354
1319,25060,25911
1320,9528,34226
1321,38755,46920
1322,36698,26209
1323,34205,24141
1324,48648,23313
1325,47585,4615
1326,19424,284
1327,36844,35256
1328,22915,7108
1329,6139,41171
1330,34362,6938
1331,33252,25641
1332,35886,21374
1333,17050,747
1334,43013,44292
1335,32896,18615
1336,35840,5013
1337,213,9355
1338,3289,15091
1339,4876,25705
1340,32677,48354
1341,30561,47097
1342,37055,43356
1343,2849,22532
1344,21899,44711
1345,10125,48778
1346,8673,18681
1347,38175,48353
1348,22396,21724
1349,309,20150
1350,8299,16208
1351,13603,35017
1352,37058,17971
1353,9526,44398
1354,39718,11240
1355,17370,7402
1356,15105,41649
1357,12112,3529
1358,22910,29885
1359,36363,22978
1360,3600,7438
1361,1616,38066
1362,5549,44774
1363,23626,38254
1364,36743,34203
1365,32658,22084
1366,x1366,y1366
1367,28586,31442
1368,34122,4723
1369,40147,36605
1370,818,18944
1371,26455,23168
1372,26998,11282
1373,6330,21192
1374,42199,13907
1375,49584,14395
1376,40730,14315
1377,37515,44951
1378,23344,43009
1379,8788,15602
1380,16681,32397
1381,42289,31808
1382,10571,22267
1383,15242,3854
1384,36486,35468
1385,16449,404
1386,23695,31115
1387,7249,41614
1388,6300,36685
1389,6001,23242
1390,7401,31652
1391,7538,27685
1392,9326,6928
1393,36022,20448
1394,38851,29040
1395,15551,49143
1396,29544,17792
1397,28100,2398
1398,43345,8253
1399,6236,44474
1400,x1400,y1400
1401,40923,32803
1402,9556,43620
1403,32177,29175
1404,41366,4925
1405,15313,5072
1406,10954,28029
1407,26367,41017
1408,16654,42965
1409,24485,14180
1410,41679,35851
1411,27378,30864
1412,6507,6907
1413,41913,48122
1414,8816,8838
1415,43981,32721
1416,26101,31919
1417,46079,15310
1418,21955,47613
1419,42603,17927
1420,24624,12301
1421,29908,5801
1422,38772,10087
1423,25243,7966
1424,20044,8320
1425,28882,45124
1426,19065,17042
1427,32927,16226
1428,49662,4873
1429,7484,11572
1430,14215,5655
1431,23082,10026
1432,8383,33841
1433,23572,49563
1434,934,30703
1435,30554,673
1436,46267,23923
1437,4604,30488
1438,32894,35546
1439,23808,46693
1440,14387,8376
1441,x1441,y1441
1442,29287,47091
1443,36602,46695
1444,45514,1618
1445,35945,47934
1446,16307,42218
1447,32887,26230
1448,20328,22685
1449,11469,20775
1450,15255,252
1451,38406,30192
1452,43235,32257
1453,23145,31007
1454,15385,43119
1455,33765,41492
1456,34365,40733
1457,23282,8143
1458,19317,15040
1459,45672,30545
1460,24773,44552
1461,18421,3357
1462,49694,46008
1463,49852,21528
1464,31462,48628
1465,1074,32977
1466,21586,23430
1467,24560,41576
1468,38757,16783
1469,22868,2709
1470,27391,30951
1471,15841,40611
1472,14271,26583
1473,5889,15263
1474,14579,31667
1475,28988,39603
1476,7787,38588
1477,44749,18452
1478,32368,4712
1479,28645,34615
1480,46323,4720
1481,25182,41595
1482,15816,40292
1483,11772,42706
1484,17294,39976
1485,10720,4245
1486,24602,40448
1487,32881,24446
1488,40459,22644
1489,2855,12303
1490,x1490,y1490
1491,27033,6578
1492,21831,11197
1493,38884,8413
1494,17933,10090
1495,10164,34204
1496,47757,7133
1497,24218,2352
1498,26936,37270
1499,31656,5529
1500,15572,42084
1501,8074,44795
1502,15846,40214
1503,12871,30254
1504,11989,24086
1505,12654,4033
1506,602,43171
1507,x1507,y1507
1508,30229,38411
1509,45564,15801
1510,22571,46237
1511,15922,47227
1512,22876,37036
1513,10445,23595
1514,32520,14563
1515,5607,21311
1516,35413,25271
1517,17491,13795
1518,42002,32814
1519,27289,46751
1520,1590,27471
1521,19724,45005
1522,23132,41530
1523,33942,9803
1524,666,31952
1525,35777,44042
1526,22633,43423
1527,43229,11956
1528,31185,4727
1529,37098,12024
1530,26911,6775
1531,29654,23267
1532,33626,35582
1533,7105,8192
1534,3839,966
1535,43768,45655
1536,17523,45452
1537,2586,45884
1538,18756,15221
1539,5321,46692
1540,12825,722
1541,21001,40021
1542,39105,9488
1543,x1543,y1543
1544,32999,11617
1545,39646,30105
1546,14880,8299
1547,9795,32875
1548,23788,46857
1549,43245,20827
1550,301,5217
1551,18238,43014
1552,7094,16450
1553,43213,42430
1554,46415,46158
1555,12149,39180
1556,17215,7954
1557,22884,25847
1558,24966,6760
1559,19784,31912
1560,7041,26606
1561,44470,42631
1562,40101,18480
1563,8999,49723
1564,7375,1766
1565,26222,31688
1566,31708,18294
1567,24267,46605
1568,25979,48989
1569,9723,24160
1570,21746,23747
1571,43024,28738
1572,26013,37468
1573,31805,12876
1574,45366,12300
1575,23413,46404
1576,26610,39470
1577,27849,33243
1578,5076,34016
1579,19780,15522
1580,9165,7386
1581,44685,36407
1582,33943,137
1583,42487,44959
1584,41755,21743
1585,44690,27032
1586,18334,30883
1587,48772,12814
1588,44730,9403
1589,29677,10566
1590,13236,20901
1591,22044,18390
1592,20800,38536
1593,29202,11354
1594,3717,30857
1595,44898,12443
1596,15116,24854
1597,36013,43593
1598,42204,47849
1599,26492,48954
1600,6938,4691
1601,2242,2557
1602,19793,7130
1603,29468,1499
1604,36276,24184
1605,43447,4607
1606,27653,15103
1607,7302,42810
1608,32529,10278
1609,47626,45772
1610,44313,5802
1611,26803,34801
1612,22089,21658
1613,10871,39168
1614,24020,6731
1615,315,775
1616,39579,20463
1617,12753,809
1618,34890,11283
1619,5090,17544
1620,8241,945
1621,26634,24069
1622,21404,38393
1623,18216,47498
1624,5759,21390
1625,20308,5069
1626,12245,341
1627,19538,28918
1628,8013,9030
1629,9372,15853
1630,37551,36133
1631,10620,1185
1632,37064,25632
1633,15604,37238
1634,9145,45019
1635,31956,17323
1636,x1636,y1636
1637,16974,3027
1638,13172,40938
1639,25135,9735
1640,35419,30122
1641,26006,38220
1642,49214,16499
1643,8965,45434
1644,8377,39952
1645,9157,30299
1646,30757,31567
1647,28803,47970
1648,11835,8130
1649,9167,6618
1650,12110,35663
1651,15701,26073
1652,23933,9508
1653,25758,24486
1654,30342,8253
1655,40163,13813
1656,2958,30247
1657,38825,44524
1658,33772,49247
1659,26269,21698
1660,31945,11554
1661,5458,793
1662,49364,46655
1663,36428,9346
1664,33538,19832
1665,26214,212
1666,27358,43009
1667,20463,17726
