a1,a2,ub_a1,lb_a1,ub_a2,lb_a2,cet_r,bst_r,pos_r
29957,29957,1,1,29957,29957,1,1,1
16632,16632,1,1,16632,16632,1,1,1
12745,12745,1,1,12745,12745,1,1,1
5203,5203,1,1,5203,5203,1,1,1
23190,23190,1,1,23190,23190,1,1,1
1807,1807,1,1,1807,1807,1,1,1
8627,8627,1,1,8627,8627,1,1,1
16305,16305,1,1,16305,16305,1,1,1
23034,23034,1,1,23034,23034,1,1,1
4514,4514,1,1,4514,4514,1,1,1
2646,2646,1,1,2646,2646,1,1,1
7549,7549,1,1,7549,7549,1,1,1
27450,27450,1,1,27450,27450,1,1,1
23935,23935,1,1,23935,23935,1,1,1
18875,18875,1,1,18875,18875,1,1,1
27660,27660,1,1,27660,27660,1,1,1
663,663,1,1,663,663,1,1,1
7337,7337,1,1,7337,7337,1,1,1
20937,20937,1,1,20937,20937,1,1,1
27483,27483,1,1,27483,27483,1,1,1
12018,12018,1,1,12018,12018,1,1,1
6641,6641,1,1,6641,6641,1,1,1
10132,10132,1,1,10132,10132,1,1,1
19674,19674,1,1,20674,19674,1,1,1
29328,29328,1,1,29328,29328,1,1,1
26802,26802,1,1,26802,26802,1,1,1
12223,12223,1,1,12223,12223,1,1,1
18513,18513,1,1,18513,18513,1,1,1
9768,9768,1,1,9768,9768,1,1,1
12254,12254,1,1,12254,12254,1,1,1
2509,2509,1,1,2509,2509,1,1,1
1637,1637,1,1,1637,1637,1,1,1
16436,16436,1,1,16436,16436,1,1,1
26281,26281,1,1,26281,26281,1,1,1
20827,20827,1,1,20827,20827,1,1,1
9359,9359,1,1,9359,9359,1,1,1
22254,22254,1,1,22254,22254,1,1,1
24807,24807,1,1,24807,24807,1,1,1
2380,2380,1,1,2380,2380,1,1,1
11259,11259,1,1,11259,11259,1,1,1
26432,26432,1,1,26432,26432,1,1,1
274,274,1,1,274,274,1,1,1
4736,4736,1,1,4736,4736,1,1,1
23038,23038,1,1,23038,23038,1,1,1
29558,29558,1,1,29558,29558,1,1,1
17533,17533,1,1,17533,17533,1,1,1
29106,29106,1,1,29106,29106,1,1,1
6094,6094,1,1,6094,6094,1,1,1
26200,26200,1,1,26200,26200,1,1,1
26324,26324,1,1,26324,26324,1,1,1
12909,12909,1,1,12909,12909,1,1,1
8647,8647,1,1,8647,8647,1,1,1
17822,17822,1,1,17822,17822,1,1,1
10468,10468,1,1,10468,10468,1,1,1
3399,3399,1,1,3399,3399,1,1,1
14969,14969,1,1,14969,14969,1,1,1
17373,17373,1,1,17373,17373,1,1,1
22483,22483,1,1,22483,22483,1,1,1
4936,4936,1,1,4936,4936,1,1,1
8779,8779,1,1,8779,8779,1,1,1
714,714,1,1,714,714,1,1,1
11971,11971,1,1,11971,11971,1,1,1
21875,21875,1,1,21875,21875,1,1,1
9533,9533,1,1,9533,9533,1,1,1
20065,20065,1,1,20065,20065,1,1,1
14694,14694,1,1,14694,14694,1,1,1
12815,12815,1,1,12815,12815,1,1,1
6081,6081,1,1,6081,6081,1,1,1
1548,1548,1,1,1548,1548,1,1,1
27172,27172,1,1,27172,27172,1,1,1
17006,17006,1,1,17006,17006,1,1,1
21040,21040,1,1,21040,21040,1,1,1
12564,12564,1,1,12564,12564,1,1,1
9566,9566,1,1,9566,9566,1,1,1
17380,17380,1,1,17380,17380,1,1,1
5920,5920,1,1,6920,5920,1,1,1
26396,26396,1,1,26396,26396,1,1,1
1052,1052,1,1,1052,1052,1,1,1
23178,23178,1,1,23178,23178,1,1,1
18389,18389,1,1,18389,18389,1,1,1
21201,21201,1,1,21201,21201,1,1,1
25875,25875,1,1,25875,25875,1,1,1
8211,8211,1,1,8211,8211,1,1,1
2564,2564,1,1,2564,2564,1,1,1
9034,9034,1,1,9034,9034,1,1,1
14732,14732,1,1,14732,14732,1,1,1
11908,11908,1,1,11908,11908,1,1,1
12668,12668,1,1,13668,12668,1,1,1
27492,27492,1,1,27492,27492,1,1,1
18040,18040,1,1,18040,18040,1,1,1
13288,13288,1,1,13288,13288,1,1,1
7721,7721,1,1,7721,7721,1,1,1
4671,4671,1,1,4671,4671,1,1,1
14661,14661,1,1,14661,14661,1,1,1
11342,11342,1,1,12342,11342,1,1,1
22946,22946,1,1,22946,22946,1,1,1
2784,2784,1,1,2784,2784,1,1,1
14645,14645,1,1,14645,14645,1,1,1
21206,21206,1,1,21206,21206,1,1,1
27436,27436,1,1,27436,27436,1,1,1
26489,26489,1,1,26489,26489,1,1,1
17701,17701,1,1,17701,17701,1,1,1
26874,26874,1,1,26874,26874,1,1,1
15222,15222,1,1,15222,15222,1,1,1
16844,16844,1,1,16844,16844,1,1,1
12923,12923,1,1,12923,12923,1,1,1
17093,17093,1,1,17093,17093,1,1,1
25942,25942,1,1,25942,25942,1,1,1
27349,27349,1,1,27349,27349,1,1,1
2702,2702,1,1,2702,2702,1,1,1
14316,14316,1,1,14316,14316,1,1,1
11245,11245,1,1,11245,11245,1,1,1
17953,17953,1,1,17953,17953,1,1,1
1688,1688,1,1,1688,1688,1,1,1
2910,2910,1,1,2910,2910,1,1,1
22518,22518,1,1,22518,22518,1,1,1
12308,12308,1,1,12308,12308,1,1,1
18327,18327,1,1,18327,18327,1,1,1
12291,12291,1,1,12291,12291,1,1,1
24470,24470,1,1,24470,24470,1,1,1
17452,17452,1,1,17452,17452,1,1,1
4090,4090,1,1,4090,4090,1,1,1
5325,5325,1,1,5325,5325,1,1,1
29866,29866,1,1,29866,29866,1,1,1
17555,17555,1,1,17555,17555,1,1,1
7655,7655,1,1,7655,7655,1,1,1
11819,11819,1,1,11819,11819,1,1,1
24563,24563,1,1,24563,24563,1,1,1
10862,10862,1,1,10862,10862,1,1,1
29299,29299,1,1,29299,29299,1,1,1
4687,4687,1,1,4687,4687,1,1,1
15390,15390,1,1,15390,15390,1,1,1
17203,17203,1,1,18203,17203,1,1,1
10751,10751,1,1,10751,10751,1,1,1
8930,8930,1,1,8930,8930,1,1,1
27252,27252,1,1,27252,27252,1,1,1
3115,3115,1,1,3115,3115,1,1,1
24474,24474,1,1,24474,24474,1,1,1
25766,25766,1,1,25766,25766,1,1,1
26772,26772,1,1,26772,26772,1,1,1
5076,5076,1,1,5076,5076,1,1,1
12895,12895,1,1,12895,12895,1,1,1
24717,24717,1,1,24717,24717,1,1,1
11820,11820,1,1,11820,11820,1,1,1
28763,28763,1,1,28763,28763,1,1,1
26272,26272,1,1,26272,26272,1,1,1
20277,20277,1,1,21277,20277,1,1,1
14239,14239,1,1,14239,14239,1,1,1
23886,23886,1,1,23886,23886,1,1,1
751,751,1,1,751,751,1,1,1
20780,20780,1,1,20780,20780,1,1,1
11985,11985,1,1,11985,11985,1,1,1
6532,6532,1,1,6532,6532,1,1,1
6421,6421,1,1,6421,6421,1,1,1
10285,10285,1,1,10285,10285,1,1,1
7715,7715,1,1,7715,7715,1,1,1
19075,19075,1,1,19075,19075,1,1,1
2236,2236,1,1,2236,2236,1,1,1
28912,28912,1,1,28912,28912,1,1,1
20445,20445,1,1,20445,20445,1,1,1
13386,13386,1,1,13386,13386,1,1,1
10945,10945,1,1,10945,10945,1,1,1
29084,29084,1,1,29084,29084,1,1,1
20433,20433,1,1,20433,20433,1,1,1
15051,15051,1,1,15051,15051,1,1,1
21458,21458,1,1,21458,21458,1,1,1
17939,17939,1,1,17939,17939,1,1,1
27223,27223,1,1,27223,27223,1,1,1
16913,16913,1,1,16913,16913,1,1,1
21976,21976,1,1,21976,21976,1,1,1
20676,20676,1,1,20676,20676,1,1,1
8900,8900,1,1,8900,8900,1,1,1
17452,17452,1,1,17452,17452,1,1,1
3884,3884,1,1,3884,3884,1,1,1
24811,24811,1,1,24811,24811,1,1,1
98,98,1,1,98,98,1,1,1
14292,14292,1,1,14292,14292,1,1,1
26269,26269,1,1,26269,26269,1,1,1
25836,25836,1,1,25836,25836,1,1,1
18302,18302,1,1,18302,18302,1,1,1
4297,4297,1,1,4297,4297,1,1,1
1046,1046,1,1,1046,1046,1,1,1
22855,22855,1,1,22855,22855,1,1,1
6517,6517,1,1,6517,6517,1,1,1
20580,20580,1,1,20580,20580,1,1,1
12930,12930,1,1,12930,12930,1,1,1
2732,2732,1,1,2732,2732,1,1,1
9445,9445,1,1,9445,9445,1,1,1
12299,12299,1,1,12299,12299,1,1,1
1081,1081,1,1,1081,1081,1,1,1
29271,29271,1,1,29271,29271,1,1,1
1764,1764,1,1,1764,1764,1,1,1
14941,14941,1,1,14941,14941,1,1,1
24322,24322,1,1,24322,24322,1,1,1
19450,19450,1,1,19450,19450,1,1,1
22791,22791,1,1,22791,22791,1,1,1
18672,18672,1,1,18672,18672,1,1,1
11559,11559,1,1,11559,11559,1,1,1
10668,10668,1,1,10668,10668,1,1,1
25130,25130,1,1,25130,25130,1,1,1
8848,8848,1,1,8848,8848,1,1,1
16709,16709,1,1,16709,16709,1,1,1
5570,5570,1,1,5570,5570,1,1,1
14721,14721,1,1,14721,14721,1,1,1
24644,24644,1,1,24644,24644,1,1,1
11384,11384,1,1,11384,11384,1,1,1
8665,8665,1,1,8665,8665,1,1,1
12632,12632,1,1,12632,12632,1,1,1
22905,22905,1,1,22905,22905,1,1,1
15336,15336,1,1,15336,15336,1,1,1
5843,5843,1,1,5843,5843,1,1,1
3974,3974,1,1,3974,3974,1,1,1
1238,1238,1,1,1238,1238,1,1,1
8862,8862,1,1,8862,8862,1,1,1
6399,6399,1,1,6399,6399,1,1,1
18458,18458,1,1,18458,18458,1,1,1
793,793,1,1,793,793,1,1,1
6806,6806,1,1,6806,6806,1,1,1
4722,4722,1,1,4722,4722,1,1,1
4966,4966,1,1,4966,4966,1,1,1
27105,27105,1,1,27105,27105,1,1,1
1094,1094,1,1,1094,1094,1,1,1
16603,16603,1,1,16603,16603,1,1,1
6878,6878,1,1,6878,6878,1,1,1
7359,7359,1,1,7359,7359,1,1,1
1089,1089,1,1,1089,1089,1,1,1
982,982,1,1,982,982,1,1,1
1387,1387,1,1,1387,1387,1,1,1
23299,23299,1,1,23299,23299,1,1,1
22247,22247,1,1,22247,22247,1,1,1
8279,8279,1,1,8279,8279,1,1,1
10067,10067,1,1,10067,10067,1,1,1
28097,28097,1,1,28097,28097,1,1,1
6918,6918,1,1,6918,6918,1,1,1
23524,23524,1,1,23524,23524,1,1,1
4773,4773,1,1,4773,4773,1,1,1
12385,12385,1,1,12385,12385,1,1,1
15451,15451,1,1,16451,15451,1,1,1
29465,29465,1,1,29465,29465,1,1,1
2506,2506,1,1,2506,2506,1,1,1
9234,9234,1,1,9234,9234,1,1,1
8732,8732,1,1,8732,8732,1,1,1
14138,14138,1,1,14138,14138,1,1,1
5485,5485,1,1,5485,5485,1,1,1
15851,15851,1,1,16851,15851,1,1,1
15924,15924,1,1,15924,15924,1,1,1
12003,12003,1,1,12003,12003,1,1,1
24518,24518,1,1,24518,24518,1,1,1
7121,7121,1,1,8121,7121,1,1,1
16311,16311,1,1,16311,16311,1,1,1
26127,26127,1,1,26127,26127,1,1,1
159,159,1,1,159,159,1,1,1
27856,27856,1,1,27856,27856,1,1,1
4426,4426,1,1,4426,4426,1,1,1
25135,25135,1,1,25135,25135,1,1,1
13089,13089,1,1,13089,13089,1,1,1
3124,3124,1,1,3124,3124,1,1,1
28349,28349,1,1,28349,28349,1,1,1
6593,6593,1,1,6593,6593,1,1,1
12614,12614,1,1,12614,12614,1,1,1
19780,19780,1,1,19780,19780,1,1,1
16154,16154,1,1,16154,16154,1,1,1
27955,27955,1,1,27955,27955,1,1,1
9630,9630,1,1,9630,9630,1,1,1
23186,23186,1,1,23186,23186,1,1,1
28816,28816,1,1,28816,28816,1,1,1
29552,29552,1,1,29552,29552,1,1,1
26252,26252,1,1,26252,26252,1,1,1
28740,28740,1,1,28740,28740,1,1,1
1302,1302,1,1,1302,1302,1,1,1
24064,24064,1,1,24064,24064,1,1,1
460,460,1,1,460,460,1,1,1
14735,14735,1,1,14735,14735,1,1,1
11386,11386,1,1,11386,11386,1,1,1
28071,28071,1,1,28071,28071,1,1,1
25405,25405,1,1,25405,25405,1,1,1
20792,20792,1,1,20792,20792,1,1,1
797,797,1,1,797,797,1,1,1
11439,11439,1,1,11439,11439,1,1,1
4561,4561,1,1,4561,4561,1,1,1
16293,16293,1,1,16293,16293,1,1,1
11997,11997,1,1,11997,11997,1,1,1
21598,21598,1,1,21598,21598,1,1,1
19180,19180,1,1,19180,19180,1,1,1
25654,25654,1,1,25654,25654,1,1,1
13865,13865,1,1,13865,13865,1,1,1
7958,7958,1,1,7958,7958,1,1,1
16810,16810,1,1,16810,16810,1,1,1
12370,12370,1,1,12370,12370,1,1,1
14439,14439,1,1,14439,14439,1,1,1
28268,28268,1,1,28268,28268,1,1,1
3576,3576,1,1,3576,3576,1,1,1
22161,22161,1,1,22161,22161,1,1,1
14672,14672,1,1,14672,14672,1,1,1
23340,23340,1,1,23340,23340,1,1,1
27741,27741,1,1,27741,27741,1,1,1
13706,13706,1,1,13706,13706,1,1,1
10098,10098,1,1,10098,10098,1,1,1
24386,24386,1,1,24386,24386,1,1,1
15743,15743,1,1,15743,15743,1,1,1
13852,13852,1,1,13852,13852,1,1,1
20918,20918,1,1,20918,20918,1,1,1
9710,9710,1,1,9710,9710,1,1,1
23206,23206,1,1,23206,23206,1,1,1
27088,27088,1,1,27088,27088,1,1,1
16795,16795,1,1,16795,16795,1,1,1
22084,22084,1,1,23084,22084,1,1,1
12987,12987,1,1,12987,12987,1,1,1
11099,11099,1,1,11099,11099,1,1,1
28310,28310,1,1,28310,28310,1,1,1
8010,8010,1,1,9010,8010,1,1,1
3211,3211,1,1,3211,3211,1,1,1
14583,14583,1,1,14583,14583,1,1,1
24810,24810,1,1,24810,24810,1,1,1
17654,17654,1,1,17654,17654,1,1,1
29462,29462,1,1,29462,29462,1,1,1
2070,2070,1,1,2070,2070,1,1,1
28357,28357,1,1,28357,28357,1,1,1
26927,26927,1,1,26927,26927,1,1,1
2013,2013,1,1,2013,2013,1,1,1
8241,8241,1,1,8241,8241,1,1,1
7798,7798,1,1,7798,7798,1,1,1
20805,20805,1,1,21805,20805,1,1,1
10900,10900,1,1,10900,10900,1,1,1
26364,26364,1,1,26364,26364,1,1,1
11438,11438,1,1,11438,11438,1,1,1
27049,27049,1,1,27049,27049,1,1,1
16713,16713,1,1,16713,16713,1,1,1
2843,2843,1,1,2843,2843,1,1,1
6093,6093,1,1,6093,6093,1,1,1
19794,19794,1,1,19794,19794,1,1,1
14606,14606,1,1,14606,14606,1,1,1
15385,15385,1,1,15385,15385,1,1,1
19579,19579,1,1,19579,19579,1,1,1
12576,12576,1,1,12576,12576,1,1,1
15823,15823,1,1,15823,15823,1,1,1
10599,10599,1,1,10599,10599,1,1,1
2541,2541,1,1,2541,2541,1,1,1
26170,26170,1,1,26170,26170,1,1,1
19440,19440,1,1,19440,19440,1,1,1
7283,7283,1,1,7283,7283,1,1,1
17083,17083,1,1,17083,17083,1,1,1
1847,1847,1,1,1847,1847,1,1,1
13785,13785,1,1,13785,13785,1,1,1
25243,25243,1,1,25243,25243,1,1,1
8811,8811,1,1,8811,8811,1,1,1
3121,3121,1,1,3121,3121,1,1,1
28926,28926,1,1,28926,28926,1,1,1
27153,27153,1,1,27153,27153,1,1,1
24916,24916,1,1,24916,24916,1,1,1
21133,21133,1,1,21133,21133,1,1,1
14199,14199,1,1,14199,14199,1,1,1
28294,28294,1,1,28294,28294,1,1,1
28047,28047,1,1,28047,28047,1,1,1
8298,8298,1,1,8298,8298,1,1,1
7838,7838,1,1,7838,7838,1,1,1
20401,20401,1,1,20401,20401,1,1,1
29161,29161,1,1,29161,29161,1,1,1
21094,21094,1,1,21094,21094,1,1,1
27244,27244,1,1,27244,27244,1,1,1
16019,16019,1,1,16019,16019,1,1,1
22717,22717,1,1,22717,22717,1,1,1
27868,27868,1,1,27868,27868,1,1,1
10115,10115,1,1,10115,10115,1,1,1
21298,21298,1,1,21298,21298,1,1,1
25710,25710,1,1,25710,25710,1,1,1
38,38,1,1,38,38,1,1,1
25137,25137,1,1,25137,25137,1,1,1
25630,25630,1,1,25630,25630,1,1,1
4718,4718,1,1,4718,4718,1,1,1
6226,6226,1,1,6226,6226,1,1,1
18292,18292,1,1,18292,18292,1,1,1
7337,7337,1,1,7337,7337,1,1,1
29177,29177,1,1,29177,29177,1,1,1
19062,19062,1,1,19062,19062,1,1,1
25855,25855,1,1,25855,25855,1,1,1
7189,7189,1,1,7189,7189,1,1,1
6274,6274,1,1,6274,6274,1,1,1
22597,22597,1,1,22597,22597,1,1,1
9954,9954,1,1,9954,9954,1,1,1
24472,24472,1,1,24472,24472,1,1,1
14080,14080,1,1,14080,14080,1,1,1
29707,29707,1,1,29707,29707,1,1,1
8935,8935,1,1,8935,8935,1,1,1
6889,6889,1,1,6889,6889,1,1,1
2472,2472,1,1,2472,2472,1,1,1
15626,15626,1,1,15626,15626,1,1,1
9858,9858,1,1,9858,9858,1,1,1
25213,25213,1,1,25213,25213,1,1,1
4557,4557,1,1,4557,4557,1,1,1
28915,28915,1,1,28915,28915,1,1,1
13677,13677,1,1,13677,13677,1,1,1
7109,7109,1,1,7109,7109,1,1,1
1552,1552,1,1,1552,1552,1,1,1
6504,6504,1,1,6504,6504,1,1,1
25638,25638,1,1,25638,25638,1,1,1
298,298,1,1,298,298,1,1,1
29828,29828,1,1,29828,29828,1,1,1
7888,7888,1,1,7888,7888,1,1,1
12837,12837,1,1,12837,12837,1,1,1
868,868,1,1,868,868,1,1,1
26479,26479,1,1,26479,26479,1,1,1
1123,1123,1,1,1123,1123,1,1,1
2659,2659,1,1,2659,2659,1,1,1
28046,28046,1,1,28046,28046,1,1,1
11312,11312,1,1,11312,11312,1,1,1
24687,24687,1,1,24687,24687,1,1,1
14741,14741,1,1,14741,14741,1,1,1
18143,18143,1,1,18143,18143,1,1,1
5045,5045,1,1,5045,5045,1,1,1
12665,12665,1,1,12665,12665,1,1,1
6294,6294,1,1,6294,6294,1,1,1
23520,23520,1,1,23520,23520,1,1,1
425,425,1,1,425,425,1,1,1
3617,3617,1,1,3617,3617,1,1,1
26715,26715,1,1,26715,26715,1,1,1
12746,12746,1,1,12746,12746,1,1,1
17235,17235,1,1,17235,17235,1,1,1
13302,13302,1,1,13302,13302,1,1,1
17286,17286,1,1,17286,17286,1,1,1
26214,26214,1,1,26214,26214,1,1,1
23637,23637,1,1,23637,23637,1,1,1
8939,8939,1,1,8939,8939,1,1,1
24109,24109,1,1,24109,24109,1,1,1
4970,4970,1,1,4970,4970,1,1,1
7396,7396,1,1,7396,7396,1,1,1
22656,22656,1,1,22656,22656,1,1,1
5761,5761,1,1,5761,5761,1,1,1
18623,18623,1,1,18623,18623,1,1,1
5733,5733,1,1,5733,5733,1,1,1
11929,11929,1,1,11929,11929,1,1,1
12718,12718,1,1,12718,12718,1,1,1
22898,22898,1,1,22898,22898,1,1,1
18455,18455,1,1,18455,18455,1,1,1
12971,12971,1,1,12971,12971,1,1,1
18461,18461,1,1,18461,18461,1,1,1
28582,28582,1,1,28582,28582,1,1,1
16108,16108,1,1,16108,16108,1,1,1
8952,8952,1,1,8952,8952,1,1,1
2268,2268,1,1,2268,2268,1,1,1
28048,28048,1,1,28048,28048,1,1,1
5631,5631,1,1,5631,5631,1,1,1
27322,27322,1,1,27322,27322,1,1,1
22243,22243,1,1,22243,22243,1,1,1
21239,21239,1,1,21239,21239,1,1,1
28849,28849,1,1,28849,28849,1,1,1
3457,3457,1,1,3457,3457,1,1,1
26128,26128,1,1,26128,26128,1,1,1
6927,6927,1,1,6927,6927,1,1,1
14902,14902,1,1,14902,14902,1,1,1
29279,29279,1,1,29279,29279,1,1,1
18565,18565,1,1,18565,18565,1,1,1
7943,7943,1,1,7943,7943,1,1,1
10514,10514,1,1,11514,10514,1,1,1
15203,15203,1,1,15203,15203,1,1,1
6954,6954,1,1,6954,6954,1,1,1
14224,14224,1,1,14224,14224,1,1,1
15589,15589,1,1,15589,15589,1,1,1
4777,4777,1,1,4777,4777,1,1,1
9432,9432,1,1,9432,9432,1,1,1
17809,17809,1,1,17809,17809,1,1,1
17024,17024,1,1,17024,17024,1,1,1
23888,23888,1,1,23888,23888,1,1,1
26306,26306,1,1,26306,26306,1,1,1
6188,6188,1,1,6188,6188,1,1,1
4181,4181,1,1,4181,4181,1,1,1
10200,10200,1,1,10200,10200,1,1,1
27406,27406,1,1,27406,27406,1,1,1
22874,22874,1,1,22874,22874,1,1,1
13716,13716,1,1,13716,13716,1,1,1
8928,8928,1,1,8928,8928,1,1,1
20085,20085,1,1,20085,20085,1,1,1
22098,22098,1,1,22098,22098,1,1,1
9088,9088,1,1,9088,9088,1,1,1
22384,22384,1,1,23384,22384,1,1,1
19506,19506,1,1,19506,19506,1,1,1
26146,26146,1,1,26146,26146,1,1,1
15523,15523,1,1,15523,15523,1,1,1
8226,8226,1,1,8226,8226,1,1,1
12691,12691,1,1,12691,12691,1,1,1
28566,28566,1,1,29566,28566,1,1,1
17059,17059,1,1,17059,17059,1,1,1
6727,6727,1,1,6727,6727,1,1,1
28409,28409,1,1,28409,28409,1,1,1
19614,19614,1,1,19614,19614,1,1,1
26309,26309,1,1,26309,26309,1,1,1
5891,5891,1,1,5891,5891,1,1,1
17817,17817,1,1,17817,17817,1,1,1
14449,14449,1,1,14449,14449,1,1,1
4753,4753,1,1,4753,4753,1,1,1
427,427,1,1,427,427,1,1,1
22773,22773,1,1,22773,22773,1,1,1
6695,6695,1,1,6695,6695,1,1,1
14885,14885,1,1,14885,14885,1,1,1
3167,3167,1,1,3167,3167,1,1,1
21334,21334,1,1,21334,21334,1,1,1
27152,27152,1,1,27152,27152,1,1,1
1301,1301,1,1,1301,1301,1,1,1
9783,9783,1,1,9783,9783,1,1,1
13696,13696,1,1,13696,13696,1,1,1
17749,17749,1,1,17749,17749,1,1,1
13675,13675,1,1,13675,13675,1,1,1
28034,28034,1,1,28034,28034,1,1,1
17385,17385,1,1,17385,17385,1,1,1
10846,10846,1,1,10846,10846,1,1,1
9733,9733,1,1,9733,9733,1,1,1
2968,2968,1,1,2968,2968,1,1,1
23683,23683,1,1,23683,23683,1,1,1
23208,23208,1,1,23208,23208,1,1,1
17722,17722,1,1,17722,17722,1,1,1
16546,16546,1,1,16546,16546,1,1,1
17675,17675,1,1,17675,17675,1,1,1
22864,22864,1,1,22864,22864,1,1,1
10639,10639,1,1,10639,10639,1,1,1
26346,26346,1,1,26346,26346,1,1,1
13311,13311,1,1,13311,13311,1,1,1
25176,25176,1,1,25176,25176,1,1,1
29810,29810,1,1,30810,29810,1,1,1
863,863,1,1,863,863,1,1,1
10640,10640,1,1,10640,10640,1,1,1
21195,21195,1,1,21195,21195,1,1,1
6979,6979,1,1,6979,6979,1,1,1
10845,10845,1,1,10845,10845,1,1,1
16557,16557,1,1,16557,16557,1,1,1
6604,6604,1,1,6604,6604,1,1,1
17539,17539,1,1,17539,17539,1,1,1
12602,12602,1,1,12602,12602,1,1,1
16854,16854,1,1,16854,16854,1,1,1
14334,14334,1,1,14334,14334,1,1,1
14694,14694,1,1,14694,14694,1,1,1
26115,26115,1,1,26115,26115,1,1,1
16601,16601,1,1,16601,16601,1,1,1
4143,4143,1,1,4143,4143,1,1,1
19038,19038,1,1,19038,19038,1,1,1
19586,19586,1,1,19586,19586,1,1,1
1096,1096,1,1,1096,1096,1,1,1
9890,9890,1,1,9890,9890,1,1,1
5197,5197,1,1,5197,5197,1,1,1
8126,8126,1,1,8126,8126,1,1,1
2874,2874,1,1,2874,2874,1,1,1
20865,20865,1,1,20865,20865,1,1,1
23965,23965,1,1,23965,23965,1,1,1
7822,7822,1,1,7822,7822,1,1,1
10824,10824,1,1,10824,10824,1,1,1
11072,11072,1,1,11072,11072,1,1,1
14574,14574,1,1,14574,14574,1,1,1
13507,13507,1,1,13507,13507,1,1,1
17807,17807,1,1,18807,17807,1,1,1
20400,20400,1,1,20400,20400,1,1,1
24157,24157,1,1,24157,24157,1,1,1
16614,16614,1,1,16614,16614,1,1,1
6822,6822,1,1,6822,6822,1,1,1
